,Name,Stated Age,Strength,Size,Rating
0,10th Street Peated Single Malt ,,46.0 % Vol.,750 ml,94.00
1,10th Street STR Single Malt ,,46.0 % Vol.,750 ml,
2,1770 Glasgow Single Malt  2019 Release,,46.0 % Vol.,500 ml,82.97
3,1770 Glasgow Single Malt - Peated  Release No. 1,,46.0 % Vol.,500 ml,83.75
4,1792 Full Proof  Single Barrel Select,,62.5 % Vol.,750 ml,
5,A Distillery in Orkney 2011 MMcK  Càrn Mòr - Strictly Limited Edition - Cask Strength,,54.8 % Vol.,700 ml,
6,A Dream of Scotland 16-year-old BW  Happy Halloween - Secret Speyside,16,56.5 % Vol.,500 ml,87.25
7,A Dream of Scotland 2002 BW  Autumn Lady,17,50.2 % Vol.,700 ml,88.67
8,A Dream of Scotland 2005 BW  Unknown South Islay - Bad Santa,14,55.2 % Vol.,700 ml,
9,A Dream of Scotland 2006 BW  Unknown Islay,13,57.3 % Vol.,700 ml,86.45
10,A Dream of Scotland 2006 BW  Unknown Islay,12,56.8 % Vol.,700 ml,87.55
11,A Dream of Scotland 2011 BW  The Evil One,07,56.3 % Vol.,700 ml,86.13
12,A Dream of Scotland 2012 BW  Unknown North Islay Distillery,07,58.9 % Vol.,700 ml,86.83
13,A Dream of Scotland Islay Cask Strength BW  Batch 1,,56.8 % Vol.,700 ml,86.51
14,A Dream of Scotland Islay Cask Strength BW  Batch 2,,55.7 % Vol.,700 ml,87.10
15,A Dream of Scotland Islay Cask Strength BW  Batch 3,,56.4 % Vol.,700 ml,86.79
16,A Dream of Scotland The Old Lady of Islay BW ,10,48.2 % Vol.,700 ml,89.05
17,A Speyside Malt 2001 CA  In The Courtyard,17,56.4 % Vol.,700 ml,
18,Aberfeldy 15-year-old  Limited Edition,15,43.0 % Vol.,700 ml,86.00
19,Aberfeldy 15-year-old  Exceptional Cask Series,15,43.0 % Vol.,700 ml,86.50
20,Aberfeldy 1995 GM  Connoisseurs Choice - Cask Strength,24,53.3 % Vol.,700 ml,89.00
21,Aberfeldy 1996 CA  Warehouse Tasting,22,52.0 % Vol.,700 ml,85.85
22,Aberfeldy 1998  Exceptional Cask Series,20,43.0 % Vol.,700 ml,87.25
23,Aberfeldy 1998  Exceptional Cask Series,20,54.1 % Vol.,700 ml,86.50
24,Aberfeldy 20-year-old  Exceptional Cask Series,20,43.0 % Vol.,700 ml,
25,Aberfeldy 20-year-old  Exceptional Cask Series,20,43.0 % Vol.,700 ml,88.00
26,Aberfeldy 2001  Hand Bottled at the Distillery,,57.9 % Vol.,700 ml,87.43
27,Aberfeldy 2002  Hand Filled,,55.0 % Vol.,700 ml,
28,Aberfeldy 2002  Single Cask,,54.9 % Vol.,700 ml,89.33
29,Aberfeldy 2009 HiSp ,10,51.9 % Vol.,700 ml,87.22
30,Aberfeldy 40-year-old ,40,50.1 % Vol.,700 ml,88.33
31,Aberfeldy 40-year-old  2nd release,40,47.3 % Vol.,700 ml,
32,Aberfeldy 40-year-old  3rd release,40,46.1 % Vol.,700 ml,
33,Aberfeldy Batch 3 TBWC ,21,48.9 % Vol.,500 ml,88.00
34,Aberfeldy Batch 4 TBWC ,27,44.3 % Vol.,500 ml,
35,Aberlour 10-year-old  Forest Reserve,10,40.0 % Vol.,700 ml,79.75
36,Aberlour 12-year-old  Double Cask Matured,12,40.0 % Vol.,700 ml,84.33
37,Aberlour 12-year-old ,12,48.0 % Vol.,700 ml,88.00
38,Aberlour 1990 Arc  Guide to the gallery of reptiles,28,44.2 % Vol.,700 ml,89.00
39,Aberlour 1992 LT  10th Anniversary Edition,26,51.9 % Vol.,700 ml,85.00
40,Aberlour 1992 WhB  Galloway Series,26,51.9 % Vol.,700 ml,88.42
41,Aberlour 1993 MBl  The Maltman,26,50.2 % Vol.,700 ml,
42,Aberlour 1993 TWEx ,25,54.1 % Vol.,700 ml,84.00
43,Aberlour 1994 DL  XOP - Xtra Old Particular,25,55.9 % Vol.,700 ml,
44,Aberlour 1995 eSW  eSpirits Shop Selection,24,61.3 % Vol.,700 ml,
45,Aberlour 1998  The Distillery Reserve Collection,20,52.0 % Vol.,500 ml,89.75
46,Aberlour 2002 ,17,57.6 % Vol.,700 ml,88.00
47,Aberlour 2003  The Distillery Reserve Collection,16,59.1 % Vol.,500 ml,90.33
48,Aberlour 2004  The Distillery Reserve Collection,14,56.5 % Vol.,500 ml,89.40
49,Aberlour 2005  The Distillery Reserve Collection,13,57.9 % Vol.,500 ml,89.00
50,Aberlour 2005  Single Cask,14,58.7 % Vol.,700 ml,87.25
51,Aberlour 2008 DL  Old Particular,10,48.4 % Vol.,500 ml,80.00
52,Aberlour 2009  White Oak,,40.0 % Vol.,700 ml,81.00
53,Aberlour 24-year-old WhB ,24,61.3 % Vol.,700 ml,88.29
54,Aberlour A'bunadh batch #64 ,,59.9 % Vol.,700 ml,89.89
55,Aberlour A'bunadh batch #65 ,,59.5 % Vol.,700 ml,85.67
56,Aberlour Batch 8 TBWC ,06,49.9 % Vol.,500 ml,83.00
57,Aberlour Batch 9 TBWC ,30,47.8 % Vol.,500 ml,
58,Aberlour Casg Annamh  Small Batch,,48.0 % Vol.,700 ml,80.67
59,Abhainn Dearg 10-year-old  X,10,46.0 % Vol.,50 ml,74.50
60,Abraham Bowman 2004  Pioneer Spirit - Release No. 18,,73.05 % Vol.,750 ml,
61,Aerolite Lyndsay 10-year-old ,10,46.0 % Vol.,700 ml,83.91
62,Affinity CB  Limited Edition,,46.0 % Vol.,700 ml,82.60
63,Aird Mhor 2009 TWEx ,09,58.5 % Vol.,700 ml,89.00
64,Alambik Ommelander Whisky No. 5  Privébotteling,05,57.0 % Vol.,500 ml,
65,Alberta Premium 20-year-old  Limited Edition,20,42.0 % Vol.,750 ml,80.00
66,Alberta Premium Cask Strength Rye ,,65.1 % Vol.,750 ml,89.50
67,Alliance Series Texas Whiskey Festival Blend CBW ,02,58.0 % Vol.,375 ml,
68,Allt-a-Bhainne 1998  The Distillery Reserve Collection,21,48.1 % Vol.,500 ml,
69,Allt-a-Bhainne 2005 GM  Connoisseurs Choice - Cask Strength,13,60.7 % Vol.,700 ml,87.00
70,Allt-a-Bhainne 2008 Fs  Scottish Roadsign Edition No. 11,10,59.1 % Vol.,700 ml,
71,Allt-a-Bhainne 2008 HoMc  The Vintage Collection,10,46.5 % Vol.,700 ml,84.38
72,Allt-a-Bhainne 2008 HoMc  The Vintage Collection,10,46.5 % Vol.,700 ml,79.67
73,Allt-a-Bhainne 2011 SMWS 108.18  Pancetta roulette,07,63.8 % Vol.,700 ml,
74,Allt-a-Bhainne 23-year-old Sn ,23,41.6 % Vol.,700 ml,
75,Allt-a-Bhainne Batch 6 TBWC ,21,50.2 % Vol.,500 ml,89.00
76,Allt-a-Bhainne Batch 8 TBWC ,26,50.3 % Vol.,500 ml,
77,Allt-a-Bhainne Batch 9 TBWC ,23,49.5 % Vol.,500 ml,
78,Amahagan World Malt  Edition No. 2,,47.0 % Vol.,700 ml,87.75
79,Amahagan World Malt  Edition No. 3,,47.0 % Vol.,700 ml,90.00
80,Amazing Amanda 2008 ANHA  The Soul of Scotland,,54.3 % Vol.,700 ml,87.25
81,Amrut 10-year-old  Greedy Angels - Chairman's Reserve,10,60.0 % Vol.,700 ml,89.00
82,Amrut 10-year-old  Greedy Angels - Chairman's Reserve,10,55.0 % Vol.,700 ml,90.00
83,Amrut 10-year-old  Greedy Angels,10,60.0 % Vol.,750 ml,
84,Amrut 2011 ,07,60.0 % Vol.,700 ml,
85,Amrut 2011  Aatma,,56.5 % Vol.,750 ml,
86,Amrut 2011  Special Limited Edition,,60.0 % Vol.,700 ml,86.00
87,Amrut 2012  Special Limited Edition,,60.0 % Vol.,700 ml,89.08
88,Amrut 2012  Special Limited Edition,,60.0 % Vol.,700 ml,88.86
89,Amrut 2012  Special Limited Edition,,60.0 % Vol.,700 ml,
90,Amrut 2012  Special Limited Edition,,60.0 % Vol.,700 ml,86.00
91,Amrut Amalgam  Peated Malt Whisky,,42.8 % Vol.,750 ml,
92,Amrut Fusion  Single Malt Whisky,,50.0 % Vol.,700 ml,
93,Amrut Indian  Single Malt Whisky,,46.0 % Vol.,750 ml,
94,Amrut Peated Indian ,,46.0 % Vol.,700 ml,83.00
95,An Cnoc 16-year-old  125th Anniversary of Knockdhu Distillery,16,56.3 % Vol.,700 ml,85.69
96,An Cnoc 2001  Single Cask Exclusive,,50.4 % Vol.,700 ml,90.80
97,An Cnoc 2001  Single Cask Exclusive,17,53.8 % Vol.,700 ml,
98,An Cnoc 2008 SMWS 115.16  Turned into a nutty corner,11,59.5 % Vol.,700 ml,
99,An Cnoc 24-year-old ,24,46.0 % Vol.,700 ml,87.28
100,An Cnoc Peat  125th Anniversary Knockdhu Distillery,,46.0 % Vol.,700 ml,85.00
101,An Iconic Speyside 2011 DT  Dimensions,07,54.2 % Vol.,700 ml,83.00
102,An Iconic Speyside Distillery 10-year-old - Operation Market Garden  Commemorative Bottling 1944 - 2019,10,54.0 % Vol.,700 ml,87.00
103,An Iconic Speyside Distillery 2010 DT  The Octave,08,53.2 % Vol.,700 ml,84.00
104,An Iconic Speyside Distillery 2010 DT - WHAT THE F__C___  The Octave,08,53.7 % Vol.,700 ml,85.67
105,An Irish Distillery 2006 CA  Small Batch,10,47.4 % Vol.,700 ml,87.28
106,An Irish Distillery 2006 CA  Cadenhead in The Courtyard 2019,10,47.1 % Vol.,700 ml,85.75
107,An Islay Distillery 14-year-old TWG  Renaissance Boutique Collection,14,58.2 % Vol.,700 ml,85.50
108,An Islay Distillery 2007 CA  10th Anniversary of Cadenhead Shop Baden,11,56.0 % Vol.,700 ml,88.00
109,An Islay Distillery 2007 CA  Cadenhead in The Courtyard 2019,12,54.1 % Vol.,700 ml,88.67
110,An Islay Distillery 2008 CA  Warehouse Tasting,10,58.5 % Vol.,700 ml,86.65
111,An Orkney Distillery 2006 3W ,12,59.7 % Vol.,700 ml,88.00
112,An Orkney Distillery 2008 BR ,10,61.3 % Vol.,700 ml,88.33
113,An Undisclosed Speyside Distillery 1995 BR ,23,54.6 % Vol.,700 ml,
114,An Undisclosed Speyside Distillery 2000 BR ,,46.0 % Vol.,700 ml,88.00
115,An Undisclosed Speyside Distillery 2007 BR ,11,60.0 % Vol.,700 ml,88.00
116,Angels' Nectar Islay Edition Hf ,05,47.0 % Vol.,700 ml,87.00
117,Annandale 2015 CA  In The Courtyard ,04,60.1 % Vol.,700 ml,
118,Annandale 2015 CA  In The Courtyard,04,58.8 % Vol.,700 ml,
119,Annandale 2015 WhDr ,03,56.3 % Vol.,700 ml,85.36
120,Annandale 2015 WhDr  Peated,03,57.6 % Vol.,700 ml,87.10
121,Annandale 2016  Man O' Words - Founders' Selection,,61.4 % Vol.,700 ml,
122,Annandale Man O‘ Words  Handfilled - Distillery only,,60.8 % Vol.,375 ml,87.00
123,Annandale Outlaw King ,,40.0 % Vol.,700 ml,80.00
124,Anno Kent's First Single Malt Whisky  The Spirit Of Alchemy,,40.0 % Vol.,500 ml,
125,Anno New Make Spirit  The Spirit Of Alchemy,,40.0 % Vol.,50 ml,
126,Anon. 1988 AbWh  The Rare Casks - Batch Three,30,46.6 % Vol.,700 ml,
127,Anonymity 1993 HB  Single Cask - Cask Strength,26,50.1 % Vol.,700 ml,89.67
128,Ao A Blend of Five Major Whiskies ,,43.0 % Vol.,700 ml,83.57
129,Archie Rose Chocolate Rye Malt Whisky ,,52.0 % Vol.,700 ml,72.00
130,Archie Rose Rye Malt Whisky  1st Batch,03,46.0 % Vol.,700 ml,
131,Ardbeg 12-year-old SMWS 33.138  A thigh-slapping dram,12,,700 ml,88.33
132,Ardbeg 1991 HL  The Kinship - Edition No. 6,26,47.4 % Vol.,700 ml,90.00
133,Ardbeg 1993 CA  Authentic Collection,25,51.6 % Vol.,700 ml,90.62
134,Ardbeg 1998 IM  Chieftain's,20,46.0 % Vol.,700 ml,
135,Ardbeg 1999 IM  Chieftain's - Or Sileis,,58.7 % Vol.,700 ml,91.67
136,Ardbeg 2000 MoS ,,52.1 % Vol.,700 ml,89.85
137,Ardbeg 2003  Single Cask,,52.8 % Vol.,700 ml,91.87
138,Ardbeg 2004 AD  Limited,14,60.7 % Vol.,700 ml,89.39
139,Ardbeg 2004 IM  Dun Bheagan,15,58.6 % Vol.,700 ml,89.17
140,Ardbeg 2004 IM  Chieftain's,15,58.8 % Vol.,750 ml,
141,Ardbeg 2005  Single Cask,,52.5 % Vol.,700 ml,93.00
142,Ardbeg 2007  Single Cask,,56.0 % Vol.,700 ml,92.00
143,Ardbeg 25-year-old EID  The Single Malts of Scotland,25,55.5 % Vol.,700 ml,91.08
144,Ardbeg Ar11 ElD  Elements of Islay,19,56.8 % Vol.,500 ml,90.14
145,Ardbeg Batch 12 TBWC ,13,49.2 % Vol.,500 ml,90.00
146,Ardbeg Blaaack  The Ardbeg Committee,,50.7 % Vol.,750 ml,
147,Ardbeg Corryvreckan  Distillery Bottling,,57.1 % Vol.,700 ml,
148,Ardbeg Drum  Limited Edition,,46.0 % Vol.,700 ml,84.93
149,Ardbeg Supernova  SN 2019,,53.8 % Vol.,700 ml,88.61
150,Ardbeg The Ultimate  Single Cask,,53.1 % Vol.,700 ml,
151,Ardbeg Traigh Bhan  Small Batch Release,19,46.2 % Vol.,700 ml,88.56
152,Ardbeg Traigh Bhan  Small Batch Release,19,46.2 % Vol.,750 ml,
153,Ardfallen Premium Blend  Blended Irish Whiskey,,40.0 % Vol.,700 ml,
154,Ardmore 08-year-old KW  500 Jahre Holzbunge 1519-2019,08,46.0 % Vol.,350 ml,84.50
155,Ardmore 09-year-old  Tamashii,09,56.7 % Vol.,700 ml,
156,Ardmore 09-year-old Dd ,09,61.5 % Vol.,700 ml,
157,Ardmore 09-year-old TSS ,09,55.5 % Vol.,700 ml,89.00
158,Ardmore 1988 HL  Old & Rare - A Platinum Selection,,50.2 % Vol.,700 ml,87.00
159,Ardmore 1996 WhB  Galloway Series,22,59.0 % Vol.,700 ml,88.20
160,Ardmore 1997 AqV  Earth,22,50.2 % Vol.,700 ml,
161,Ardmore 1997 DD  The Nectar of the Daily Drams,22,48.7 % Vol.,700 ml,87.60
162,Ardmore 1997 GM  Connoisseurs Choice - Cask Strength,21,58.3 % Vol.,700 ml,
163,Ardmore 1997 GM  Connoisseurs Choice - Cask Strength,21,54.3 % Vol.,700 ml,
164,Ardmore 1997 GM  Connoisseurs Choice - Cask Strength,21,47.8 % Vol.,700 ml,
165,Ardmore 1997 LsD  Distiller's Art,21,52.9 % Vol.,700 ml,
166,Ardmore 1997 TWA  Specially Bottled for Whisky Lovers - Hong Kong,21,49.4 % Vol.,700 ml,
167,Ardmore 1997 TWf  Chen_Uen's Romance of the Three Kingdoms,21,54.8 % Vol.,700 ml,88.00
168,Ardmore 1998 BWM  Zodiac Series - Aries,20,52.2 % Vol.,700 ml,86.00
169,Ardmore 1998 DR  Cask Collection,21,51.7 % Vol.,700 ml,
170,Ardmore 1998 ElD  The Single Malts of Scotland,20,51.6 % Vol.,700 ml,86.00
171,Ardmore 1998 PST ,21,51.5 % Vol.,700 ml,90.50
172,Ardmore 1998 SMWS 66.152  Smoky Lapsang Souchong caramels,20,54.3 % Vol.,700 ml,89.00
173,Ardmore 1999 Arc  The Fishes of Samoa,19,55.8 % Vol.,700 ml,88.35
174,Ardmore 2002 AD  Selection,17,58.2 % Vol.,700 ml,88.00
175,Ardmore 2002 ChM  The Chess Malt Collection,17,59.7 % Vol.,700 ml,
176,Ardmore 2002 HiSp ,17,52.7 % Vol.,700 ml,88.88
177,Ardmore 2006 JW  Prenzlow Portfolio Collection,12,52.1 % Vol.,700 ml,
178,Ardmore 2006 SMWS 66.161  Chateau du pork scratching,13,58.1 % Vol.,700 ml,85.00
179,Ardmore 2007 SMWS 66.159  Lots of nice things,12,61.9 % Vol.,700 ml,
180,Ardmore 2007 SV  Single Cask Seasons - 2019 Autumn,,51.3 % Vol.,700 ml,
181,Ardmore 2008   The Un-Chillfiltered Collection,10,46.0 % Vol.,700 ml,87.00
182,Ardmore 2008 Arc  The Fishes of Samoa,10,57.4 % Vol.,700 ml,86.00
183,Ardmore 2008 Cl  The Single Cask,10,59.4 % Vol.,700 ml,87.67
184,Ardmore 2008 Cl  The Single Cask,10,56.2 % Vol.,700 ml,
185,Ardmore 2008 Cl  The Single Cask,10,55.3 % Vol.,700 ml,
186,Ardmore 2008 DL  Provenance,10,46.0 % Vol.,700 ml,85.50
187,Ardmore 2008 DL  Provenance,10,46.0 % Vol.,700 ml,84.00
188,Ardmore 2008 DT  The Octave,10,54.1 % Vol.,700 ml,80.00
189,Ardmore 2008 LsD  Hepburn's Choice,10,46.0 % Vol.,700 ml,
190,Ardmore 2008 MDB  Vintage Casks - No. 25,10,46.0 % Vol.,700 ml,
191,Ardmore 2008 MMck  r/Scotch,,57.0 % Vol.,700 ml,83.00
192,Ardmore 2008 MoS ,,56.2 % Vol.,700 ml,83.25
193,Ardmore 2008 PPME ,10,60.1 % Vol.,700 ml,89.00
